0	1	2	3	4	5	6	7
135.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
136.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
137.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
138.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
139.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
140.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
141.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
142.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
143.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
144.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
145.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
146.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
147.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
148.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
149.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
150.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
151.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
152.0	124.0	116.0	124.0	124.0	125.0	126.0	132.0
153.0	124.0	116.0	124.0	124.0	125.0	126.0	132.0
154.0	124.0	116.0	124.0	124.0	125.0	126.0	132.0
155.0	124.0	116.0	124.0	124.0	125.0	126.0	132.0
156.0	124.0	116.0	124.0	124.0	125.0	126.0	132.0
157.0	124.0	116.0	124.0	124.0	125.0	126.0	132.0
158.0	124.0	116.0	124.0	124.0	125.0	126.0	132.0
159.0	124.0	116.0	125.0	124.0	125.0	126.0	132.0
160.0	125.0	116.0	126.0	124.0	125.0	126.0	132.0
161.0	126.0	116.0	126.0	124.0	125.0	126.0	132.0
162.0	127.0	116.0	126.0	124.0	125.0	126.0	132.0
163.0	128.0	116.0	126.0	124.0	125.0	126.0	132.0
164.0	129.0	116.0	126.0	124.0	125.0	126.0	132.0
165.0	130.0	116.0	126.0	124.0	125.0	126.0	132.0
166.0	130.0	116.0	126.0	124.0	125.0	126.0	133.0
167.0	130.0	116.0	126.0	124.0	125.0	126.0	133.0
168.0	130.0	116.0	126.0	124.0	125.0	126.0	133.0
169.0	130.0	116.0	126.0	125.0	125.0	126.0	133.0
170.0	130.0	117.0	126.0	125.0	125.0	126.0	133.0
171.0	130.0	118.0	126.0	125.0	125.0	126.0	133.0
172.0	130.0	119.0	126.0	125.0	125.0	126.0	133.0
173.0	130.0	120.0	126.0	125.0	125.0	126.0	133.0
174.0	130.0	121.0	126.0	126.0	125.0	126.0	133.0
175.0	130.0	122.0	126.0	127.0	125.0	126.0	134.0
176.0	130.0	125.0	130.0	128.0	125.0	126.0	135.0
177.0	132.0	126.0	131.0	129.0	135.0	127.0	144.0
178.0	160.0	131.0	162.0	170.0	164.0	169.0	163.0
179.0	179.0	179.0	179.0	179.0	179.0	179.0	179.0
